	RG620_S89	RG627_S90
ASV_1	1186	8217
ASV_2	1396	4
ASV_3	903	430
ASV_4	21	554
ASV_5	310	225
ASV_6	446	29
ASV_7	255	212
ASV_8	33	359
ASV_9	314	30
ASV_10	40	260
ASV_11	48	244
ASV_12	19	233
ASV_13	192	54
ASV_14	8	203
ASV_15	28	132
ASV_16	148	7
ASV_17	77	53
ASV_18	32	93
ASV_19	85	2
ASV_20	30	14
ASV_21	0	44
ASV_22	10	30
ASV_23	31	8
ASV_24	2	34
ASV_25	0	35
ASV_26	5	28
ASV_27	1	32
ASV_28	25	7
ASV_29	26	5
ASV_30	15	16
ASV_31	2	28
ASV_32	1	28
ASV_33	7	20
ASV_34	18	8
ASV_35	8	17
ASV_36	7	18
ASV_37	21	3
ASV_38	23	0
ASV_39	9	14
ASV_40	14	8
ASV_41	14	6
ASV_42	1	19
ASV_43	19	0
ASV_44	19	0
ASV_45	3	16
ASV_46	1	18
ASV_47	1	18
ASV_48	0	17
ASV_49	6	10
ASV_50	2	14
ASV_51	10	5
ASV_52	0	15
ASV_53	12	2
ASV_54	10	4
ASV_55	0	14
ASV_56	13	0
ASV_57	11	2
ASV_58	6	7
ASV_59	0	13
ASV_60	5	7
ASV_61	0	12
ASV_62	11	0
ASV_63	1	10
ASV_64	0	11
ASV_65	8	2
ASV_66	0	10
ASV_67	0	10
ASV_68	9	0
ASV_69	8	0
ASV_70	8	0
ASV_71	5	3
ASV_72	1	7
ASV_73	0	8
ASV_74	7	0
ASV_75	7	0
ASV_76	7	0
ASV_77	7	0
ASV_78	3	4
ASV_79	2	4
ASV_80	0	6
ASV_81	1	4
ASV_82	0	5
ASV_83	0	5
ASV_84	3	1
ASV_85	1	3
ASV_86	0	4
ASV_87	0	4
ASV_88	0	3
ASV_89	2	0
