	Kingdom	Phylum	Class	Order	Family	Genus	Species	NA	NA
ASV_1	100	100	100	100	100	100	95	65	65
ASV_2	100	100	100	100	100	100	87	81	81
ASV_3	100	100	100	100	99	99	36	23	23
ASV_4	100	100	100	100	100	100	98	97	77
ASV_5	100	100	100	100	100	96	96	51	51
ASV_6	100	100	100	100	91	91	57	23	1
ASV_7	100	100	100	100	100	100	21	12	12
ASV_8	100	100	100	100	100	100	100	37	37
ASV_9	100	100	100	100	100	100	99	70	63
ASV_10	100	100	100	100	100	100	100	49	49
ASV_11	100	100	100	100	99	99	99	98	64
ASV_12	100	100	100	100	100	100	99	94	50
ASV_13	100	100	100	99	87	86	68	19	4
ASV_14	100	99	99	99	97	96	95	64	63
ASV_15	100	100	100	100	100	100	100	11	11
ASV_16	100	100	100	100	100	100	99	83	74
ASV_17	100	100	100	100	100	100	100	100	65
ASV_18	100	100	100	100	99	97	93	83	49
ASV_19	100	100	100	100	100	100	100	99	34
ASV_20	100	100	100	100	100	100	100	72	54
ASV_21	100	100	100	100	100	100	100	100	99
ASV_22	100	100	100	99	97	97	88	26	26
ASV_23	100	100	100	100	100	100	100	64	47
ASV_24	100	100	100	100	100	100	99	46	43
ASV_25	100	99	99	97	77	71	68	4	4
ASV_26	100	100	100	100	100	100	100	99	97
ASV_27	100	100	100	100	96	95	86	26	26
ASV_28	100	100	100	100	100	100	93	75	64
ASV_29	100	100	100	100	100	100	91	72	72
ASV_30	100	100	100	100	100	100	100	82	56
ASV_31	100	100	100	100	100	100	100	100	100
ASV_32	100	100	100	100	100	99	99	82	75
ASV_33	100	100	100	100	100	100	100	60	60
ASV_34	100	100	100	100	98	98	97	96	96
ASV_35	100	100	100	93	93	93	76	37	27
ASV_36	100	100	100	100	100	100	99	99	85
ASV_37	100	100	100	100	100	100	100	98	25
ASV_38	100	99	99	99	96	96	58	27	27
ASV_39	100	100	100	100	100	100	99	94	92
ASV_40	100	100	100	100	100	100	95	7	7
ASV_41	100	100	100	100	100	100	100	69	46
ASV_42	100	100	100	100	100	100	100	43	12
ASV_43	100	100	100	100	100	100	100	25	13
ASV_44	97	74	73	72	68	68	68	68	59
ASV_45	100	100	100	100	100	100	100	73	73
ASV_46	100	100	100	99	92	89	79	26	13
ASV_47	100	100	100	100	97	97	97	92	56
ASV_48	100	100	100	100	100	100	100	89	89
ASV_49	100	100	100	100	86	86	86	61	49
ASV_50	100	100	100	100	91	79	75	20	20
ASV_51	100	100	100	100	100	100	99	52	52
ASV_52	100	98	98	98	98	59	59	45	44
ASV_53	100	100	100	100	100	98	93	82	25
ASV_54	100	100	100	100	100	100	100	94	94
ASV_55	100	100	100	100	98	98	95	77	59
ASV_56	100	100	100	100	100	100	100	66	66
ASV_57	100	100	100	79	54	11	11	11	9
ASV_58	100	100	100	99	99	99	98	11	11
ASV_59	100	100	100	100	100	100	85	44	34
ASV_60	100	100	100	100	97	96	96	76	56
ASV_61	100	100	100	100	100	100	98	40	38
ASV_62	75	53	33	31	21	18	12	5	5
ASV_63	100	100	100	100	99	96	94	80	80
ASV_64	100	100	100	100	100	100	100	100	71
ASV_65	100	100	100	100	100	100	100	69	69
ASV_66	100	100	100	99	96	96	96	89	45
ASV_67	100	100	100	100	87	84	82	7	7
ASV_68	100	100	100	100	99	99	99	62	62
ASV_69	97	86	85	84	84	84	84	84	82
ASV_70	100	99	99	84	74	58	19	19	19
ASV_71	100	100	100	100	100	100	100	73	60
ASV_72	100	100	100	100	100	100	100	45	45
ASV_73	99	78	77	76	76	40	40	27	11
ASV_74	100	100	100	100	100	100	100	100	100
ASV_75	100	100	100	100	100	100	100	99	99
ASV_76	100	99	99	96	72	37	37	37	34
ASV_77	20	20	19	19	19	19	19	19	19
ASV_78	100	100	100	100	100	100	100	100	100
ASV_79	100	99	99	93	92	92	74	22	22
ASV_80	100	100	100	99	99	99	98	87	87
ASV_81	100	100	100	100	96	95	92	64	64
ASV_82	100	100	100	100	100	100	100	100	100
ASV_83	96	77	77	38	17	15	15	15	12
ASV_84	100	100	100	100	100	100	100	33	33
ASV_85	100	100	100	100	100	100	100	100	86
ASV_86	100	100	100	100	100	100	89	49	49
ASV_87	100	94	94	93	91	91	90	53	53
ASV_88	100	100	100	100	89	63	63	63	20
ASV_89	36	21	21	21	21	21	12	9	8
