	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
ASV_2	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_3	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_4	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_incertae_sedis	Trichaptum	abietinum
ASV_5	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	NA	NA
ASV_6	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV_7	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_8	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	nuda
ASV_9	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	NA	NA
ASV_10	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Hyphodermataceae	Hyphoderma	NA
ASV_11	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	NA
ASV_12	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_incertae_sedis	Trichaptum	abietinum
ASV_13	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	NA	NA	NA
ASV_14	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV_15	Fungi	Basidiomycota	Agaricomycetes	Russulales	NA	NA	NA
ASV_16	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Phaeotremellaceae	Phaeotremella	NA
ASV_17	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	NA
ASV_18	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Sistrotremataceae	Sistotrema	brinkmannii
ASV_19	Viridiplantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Pinus	NA
ASV_20	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hymenogaster	NA
ASV_21	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	radulus
ASV_22	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Exidia	pithya
ASV_23	Fungi	Ascomycota	Dothideomycetes	Dothideales	Cladosporiaceae	Cladosporium	NA
ASV_24	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	NA	NA
ASV_25	Fungi	Basidiomycota	Agaricomycetes	Sistotremastrales	Sistotremastraceae	NA	NA
ASV_26	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	asperus
ASV_27	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV_28	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	NA	NA
ASV_29	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_30	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	NA	NA
ASV_31	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnella	asymmetrica
ASV_32	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	NA	NA
ASV_33	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnella	NA
ASV_34	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Syzygosporaceae	Syzygospora	bachmannii
ASV_35	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_incertae_sedis	NA	NA	NA
