"Kingdom","Phylum","Class","Order","Family","Genus","rp_seq_all","rp_seq_RG620r_S89","rp_seq_RG627_S90","seq_all","seq_RG620r_S89","seq_RG627_S90","maxResolution","asv_count_all","asv_count_RG620_S89_gt_0","asv_count_RG627_S90_gt_0","maxResol_txt"
"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",0.522582078773402,0.198560187510464,0.683488526770868,9407,1186,8221,6,2,1,2,"Genus"
"Fungi","Ascomycota","","","","",0.179490028331759,0.431943746860874,0.0541237113402062,3231,2580,651,2,4,4,4,"Phylum"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_incertae_sedis","Trichaptum",0.0459418921171046,0.00669680227691277,0.0654306617891586,827,40,787,7,2,2,2,"Species"
"Fungi","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales","Erythrobasidiaceae","",0.0297205710793845,0.051900217646074,0.0187063518456934,535,310,225,5,1,1,1,"Family"
"Fungi","Basidiomycota","","","","",0.0268318426754069,0.07600870584296,0.00241104090455604,483,454,29,2,2,2,1,"Phylum"
"Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina",0.0239986667407366,0.0209275071153524,0.0255237778516794,432,125,307,6,3,2,3,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora",0.0217765679684462,0.00552486187845304,0.029847023611573,392,33,359,7,1,1,1,"Species"
"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","",0.0191100494416977,0.0525698978737653,0.00249418024609245,344,314,30,5,1,1,1,"Family"
"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Hyphodermataceae","Hyphoderma",0.0166657407921782,0.00669680227691277,0.0216162287994679,300,40,260,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","","","",0.0150547191822677,0.00150678051230537,0.0217825074825407,271,9,262,3,4,2,4,"Class"
"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","","",0.0136659074495861,0.0321446509291813,0.00448952444296641,246,192,54,4,1,1,1,"Order"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","","",0.00888839508916171,0.00468776159383894,0.0109743930828068,160,28,132,4,1,1,1,"Order"
