"Kingdom","Phylum","Class","Order","rp_seq_all","rp_seq_RG620r_S89","rp_seq_RG627_S90","seq_all","seq_RG620r_S89","seq_RG627_S90","maxResolution","asv_count_all","asv_count_RG620_S89_gt_0","asv_count_RG627_S90_gt_0","maxResol_txt"
"Fungi","Ascomycota","Dothideomycetes","Dothideales",0.544691961557691,0.257994307718065,0.687063518456934,9805,1541,8264,6,5,4,5,"Genus"
"Fungi","Ascomycota","","",0.179490028331759,0.431943746860874,0.0541237113402062,3231,2580,651,2,4,4,4,"Phylum"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales",0.0572190433864785,0.00904068307383224,0.0811439973395411,1030,54,976,7,12,9,12,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Russulales",0.0306649630576079,0.010212623472292,0.0408214166943798,552,61,491,7,2,2,2,"Species"
"Fungi","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales",0.0297205710793845,0.051900217646074,0.0187063518456934,535,310,225,5,1,1,1,"Family"
"Fungi","Basidiomycota","","",0.0268318426754069,0.07600870584296,0.00241104090455604,483,454,29,2,2,2,1,"Phylum"
"Fungi","Ascomycota","Taphrinomycetes","Taphrinales",0.0246652963724238,0.0217646073999665,0.0261057532424343,444,130,314,6,4,3,4,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Polyporales",0.0208321759902228,0.00820358278921815,0.0271034253408713,375,49,326,7,5,4,5,"Species"
"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales",0.0167212932614855,0.0381717729784028,0.0060691719321583,301,228,73,7,3,3,3,"Species"
"Fungi","Basidiomycota","Agaricomycetes","",0.0150547191822677,0.00150678051230537,0.0217825074825407,271,9,262,3,4,2,4,"Class"
"Fungi","Basidiomycota","Tremellomycetes","Tremellales",0.0120548858396756,0.0311401305876444,0.00257731958762887,217,186,31,7,4,4,4,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Cantharellales",0.0111660463307594,0.00853842290306379,0.0124709012304623,201,51,150,7,5,4,5,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales",0.00538858952280429,0.00569228193537586,0.00523777851679415,97,34,63,7,6,3,6,"Species"
"Viridiplantae","Tracheophyta","Pinopsida","Pinales",0.00483306482973168,0.0142307048384396,0.00016627868307283,87,85,2,6,1,1,1,"Genus"
"Fungi","Basidiomycota","Agaricomycetes","Auriculariales",0.00222209877229043,0.00167420056922819,0.00249418024609245,40,10,30,7,1,1,1,"Species"
"Fungi","Basidiomycota","Agaricomycetes","Sistotremastrales",0.00194433642575412,0,0.00290987695377453,35,0,35,5,1,0,1,"Family"
"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",0.00177767901783234,0.00418550142307048,0.000581975390754905,32,25,7,5,1,1,1,"Family"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales",0.00166657407921782,0.00318098108153357,0.000914532756900565,30,19,11,6,2,2,2,"Genus"
"Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales",0.00138881173268152,0.00117194039845974,0.00149650814765547,25,7,18,7,1,1,1,"Species"
"Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_incertae_sedis",0.00138881173268152,0.00133936045538255,0.00141336880611906,25,8,17,4,1,1,1,"Order"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales",0.001277706794067,0.00150678051230537,0.00116395078150981,23,9,14,7,1,1,1,"Species"
"Fungi","Ascomycota","Dothideomycetes","",0.001277706794067,0.00385066130922484,0,23,23,0,3,1,1,0,"Class"
"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",0.00111104938614521,0.00301356102461075,0.00016627868307283,20,18,2,5,2,2,1,"Family"
"Metazoa","Mollusca","Gastropoda","Stylommatophora",0.00105549691683795,0.00318098108153357,0,19,19,0,4,1,1,0,"Order"
"Amoebozoa","Evosea","Myxogastrea","Physarales",0.000833287039608911,0,0.00124709012304623,15,0,15,7,1,0,1,"Species"
"Fungi","Ascomycota","Orbiliomycetes","Orbiliales",0.00077773457030165,0.00200904068307383,0.00016627868307283,14,12,2,6,1,1,1,"Genus"
"Fungi","Ascomycota","Pichiomycetes","Serinales",0.00077773457030165,0.00234388079691947,0,14,14,0,7,2,2,0,"Species"
"Fungi","Basidiomycota","Pucciniomycetes","Pucciniales",0.000722182100994389,0.00217646073999665,0,13,13,0,4,1,1,0,"Order"
"Viridiplantae","Tracheophyta","Angiospermae","Fabales",0.000555524693072607,0.00133936045538255,0.00016627868307283,10,8,2,7,1,1,1,"Species"
"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales",0.000499972223765346,0.00150678051230537,0,9,9,0,6,1,1,0,"Genus"
"Fungi","Basidiomycota","Cystobasidiomycetes","",0.000444419754458086,0.000167420056922819,0.000581975390754905,8,1,7,3,1,1,1,"Class"
"Fungi","Ascomycota","Leotiomycetes","Rhytismatales",0.000333314815843564,0.000334840113845639,0.00033255736614566,6,2,4,7,1,1,1,"Species"
"Metazoa","Chordata","Mammalia","Rodentia",0.000222209877229043,0.000502260170768458,8.3139341536415e-05,4,3,1,7,1,1,1,"Species"
"Straminipila","Raphidophyta","Raphidophyceae","Chattonellales",0.000222209877229043,0.000167420056922819,0.000249418024609245,4,1,3,7,1,1,1,"Species"
"Viridiplantae","Chlorophyta","Trebouxiophyceae","Trebouxiales",0.000166657407921782,0,0.000249418024609245,3,0,3,6,1,0,1,"Genus"
