Kingdom,Phylum,Class,Order,Family,Genus,Species,RG620,RG627,total_count
Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,NA,0.197009966777409,0.682750602109459,0.52084602181496
Fungi,Ascomycota,NA,NA,NA,NA,NA,0.428571428571429,0.0540652769703513,0.178893748961852
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_incertae_sedis,Trichaptum,abietinum,0.00664451827242525,0.0653600199318993,0.0457892696971375
Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,NA,NA,0.0514950166112957,0.018686155634914,0.0296218371075799
Fungi,Basidiomycota,NA,NA,NA,NA,NA,0.0754152823920266,0.00240843783738892,0.0267427052765628
Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,NA,0.0207641196013289,0.0254962212440827,0.0239189413653729
Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,nuda,0.00548172757475083,0.0298147994352629,0.0217042245722828
Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,NA,NA,0.0521594684385382,0.00249148741798854,0.0190465644205747
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Hyphodermataceae,Hyphoderma,NA,0.00664451827242525,0.0215928909559007,0.0166103759481756
Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA,0.00149501661129568,0.0217589901170999,0.0150047062731853
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,NA,NA,NA,0.0318936877076412,0.00448467735237937,0.013620508277504
Fungi,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,0.00465116279069767,0.0109625446391496,0.00885886717236033
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Phaeotremellaceae,Phaeotremella,NA,0.0245847176079734,0.000581347064197326,0.00858202757322407
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Sistrotremataceae,Sistotrema,brinkmannii,0.0053156146179402,0.00772361099576447,0.00692098997840651
Viridiplantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA,0.0141196013289037,0.000166099161199236,0.00481700902497093
Mitochondrion,NA,NA,NA,NA,NA,NA,0.00780730897009967,0.000664396644796944,0.00304523559049886
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,NA,NA,NA,0.000166112956810631,0.00440162777177975,0.00298986767067161
Fungi,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,0.00132890365448505,0.00340503280458434,0.00271302807153535
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,NA,0.00498338870431894,0.00116269412839465,0.00243618847239909
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,radulus,0,0.00365418154638319,0.00243618847239909
