Kingdom,Phylum,Class,Order,Family,Genus,Species,RG620,RG627,total_count
Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,NA,1186,8221,9407
Fungi,Ascomycota,NA,NA,NA,NA,NA,2580,651,3231
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_incertae_sedis,Trichaptum,abietinum,40,787,827
Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,NA,NA,310,225,535
Fungi,Basidiomycota,NA,NA,NA,NA,NA,454,29,483
Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,NA,125,307,432
Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,nuda,33,359,392
Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,NA,NA,314,30,344
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Hyphodermataceae,Hyphoderma,NA,40,260,300
Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA,9,262,271
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,NA,NA,NA,192,54,246
Fungi,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,28,132,160
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Phaeotremellaceae,Phaeotremella,NA,148,7,155
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Sistrotremataceae,Sistotrema,brinkmannii,32,93,125
Viridiplantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA,85,2,87
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,NA,NA,NA,1,53,54
Fungi,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,8,41,49
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,NA,30,14,44
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,radulus,0,44,44
Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Exidia,pithya,10,30,40
Fungi,Ascomycota,Dothideomycetes,Dothideales,Cladosporiaceae,Cladosporium,NA,31,8,39
Fungi,Basidiomycota,Agaricomycetes,Sistotremastrales,Sistotremastraceae,NA,NA,0,35,35
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,asperus,5,28,33
Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,NA,NA,25,7,32
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,NA,NA,3,28,31
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,NA,NA,15,16,31
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnella,asymmetrica,2,28,30
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnella,NA,7,20,27
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Syzygosporaceae,Syzygospora,bachmannii,18,8,26
Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Bensingtonia,naganoensis,7,18,25
Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_incertae_sedis,NA,NA,NA,8,17,25
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,globosa,21,3,24
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,avenaria,9,14,23
Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA,23,0,23
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Sorocybe,NA,14,8,22
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,NA,1,19,20
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,NA,14,6,20
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hyphodontiaceae,Hyphodontia,pallidula,1,18,19
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Resiniciaceae,Resinicium,saccharicola,1,18,19
Metazoa,Mollusca,Gastropoda,Stylommatophora,NA,NA,NA,19,0,19
Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,0,17,17
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,NA,NA,2,14,16
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,victoriae,6,10,16
Amoebozoa,Evosea,Myxogastrea,Physarales,Physaraceae,Badhamia,utricularis,0,15,15
Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothideaceae,Dothiora,NA,10,5,15
Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Lecophagus,NA,12,2,14
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,subcoronatum,10,4,14
Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,NA,NA,NA,13,0,13
Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA,11,2,13
Fungi,Ascomycota,Taphrinomycetes,Taphrinales,NA,NA,NA,5,7,12
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Peniophorellaceae,Peniophorella,pubera,1,10,11
Viridiplantae,Tracheophyta,Angiospermae,Fabales,Fabaceae,Medicago,sativa,8,2,10
Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Itersonilia,NA,9,0,9
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Knufia,NA,5,3,8
Fungi,Basidiomycota,Cystobasidiomycetes,NA,NA,NA,NA,1,7,8
Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Yamadazyma,mexicana,7,0,7
Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Metschnikowia,pulcherrima,7,0,7
Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hyphodontiaceae,Hyphodontia,crustosa,3,4,7
Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,NA,NA,7,0,7
Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Coccomyces,strobi,2,4,6
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Incrustoporiaceae,Tyromyces,chioneus,0,6,6
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,evolvens,1,4,5
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Tulasnella,violea,0,5,5
Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,3,1,4
Straminipila,Raphidophyta,Raphidophyceae,Chattonellales,Vacuolariaceae,Merotricha,bacillata,1,3,4
Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,NA,0,3,3
